Race,Year,Date,Finishers
Prairie Series - SD,2023,5/17/23,33
Warm up Columbus Marathon,2023,2/5/23,33
Appalachian Series - VA,2023,3/30/23,32
Grand Ridge Marathon,2023,11/11/23,32
Gulf Coast Series - FL,2023,3/23/23,32
Heartland Series - MN,2023,7/14/23,32
Southwest Series - NM,2023,11/5/23,32
Center of the Nation Marathon - Nebraska,2023,10/3/23,31
Odyssey Trail Marathon,2023,9/9/23,31
Old Colony Marathon,2023,5/6/23,31
Riverboat Series - MO,2023,4/22/23,31
Rockin K Trail Marathon,2023,4/1/23,31
Runs With Scissors Marathon,2023,4/8/23,31
Southwest Series - CO,2023,11/6/23,31
Appalachian Series - WV,2023,3/29/23,30
Dakota Spirit Marathon,2023,8/20/23,30
Farm Park Marathon,2023,5/6/23,30
Golden Gate Headlands Marathon,2023,3/25/23,30
Heartland Series - IA,2023,7/12/23,30
Independence Series - PA,2023,6/2/23,30
Labor of Love Marathon@ Lovell Canyon,2023,3/11/23,30
Muir Woods Trail Marathon,2023,5/13/23,30
Pine Tree Marathon,2023,5/14/23,30
Roxbury Marathon,2023,11/11/23,30
Waugoshance Trail Marathon,2023,7/15/23,30
Ave Maria Marathon,2023,2/11/23,29
Great Allegheny Ohiopyle Marathon Race Festival,2023,5/6/23,29
Green River Marathon,2023,6/3/23,29
Kenai River Marathon,2023,9/24/23,29
Outlaw 100,2023,2/11/23,29
Riverboat Series - AR,2023,4/18/23,29
Diablo Trail Marathon,2023,9/10/23,28
King Salmon Marathon,2023,7/15/23,28
San Lorenzo River Trail Run Marathon,2023,7/15/23,28
Day of the Dead Marathon Series Day 1,2023,10/28/23,27
Last Chance Marathon,2023,12/31/23,27
Prairie Series - MO,2023,5/13/23,27
Prairie Series - OK,2023,5/12/23,27
Red Island Marathon,2023,5/5/23,27
Southwest Series - NV,2023,11/9/23,27
Aloha Series - Day 1,2023,1/19/23,26
Gulf Coast Series - LA,2023,3/21/23,26
Napa Valley Wine Country Trail Marathon,2023,10/28/23,26
Northwest Series - OR,2023,9/23/23,26
Pacific Crest Marathon,2023,6/17/23,26
Prairie Series - MN 2,2023,5/19/23,26
